Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
320,Vomitin 10 MG Rectal Suppository ,domperidone 10 MG Rectal Suppository ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI320','Vomitin 10 MG Rectal Suppository',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB320','Vomitin 10 MG Rectal Suppository','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG320','domperidone 10 MG Rectal Suppository','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE320','No Corresponding SCD RXCUI')"
338,Vomitin 30 MG Rectal Suppository ,domperidone 30 MG Rectal Suppository ,SCD-104871,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI338','Vomitin 30 MG Rectal Suppository',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB338','Vomitin 30 MG Rectal Suppository','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE338','SCD-104871')"
819,Don-A 15 MG Rectal Suppository ,domperidone 15 MG Rectal Suppository ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI819','Don-A 15 MG Rectal Suppository',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB819','Don-A 15 MG Rectal Suppository','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG819','domperidone 15 MG Rectal Suppository','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE819','No Corresponding SCD RXCUI')"
13631,Domipan 30 MG Sustained Release Oral Capsule ,domperidone 30 MG Sustained Release Oral Capsule ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13631','Domipan 30 MG Sustained Release Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13631','Domipan 30 MG Sustained Release Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13631','domperidone 30 MG Sustained Release Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13631','No Corresponding SCD RXCUI')"
2380,Deflux 5 MG in 5 ML Oral Suspension ,domperidone 5 MG in 5 ML Oral Suspension ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2380','Deflux 5 MG in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2380','Deflux 5 MG in 5 ML Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2380','domperidone 5 MG in 5 ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2380','No Corresponding SCD RXCUI')"
2325,Asunra 100 MG Oral Tablet ,deferasirox 100 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2325','Asunra 100 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2325','Asunra 100 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2325','deferasirox 100 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2325','No Corresponding SCD RXCUI')"
2338,Asunra 400 MG Oral Tablet ,deferasirox 400 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2338','Asunra 400 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2338','Asunra 400 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2338','deferasirox 400 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2338','No Corresponding SCD RXCUI')"
3316,Gabix 100 MG Oral Capsule ,gabapentin 100 MG Oral Capsule ,PSN-310430,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3316','Gabix 100 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3316','Gabix 100 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3316','gabapentin 100 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3316','PSN-310430')"
1275,Gaba 300 MG Oral Tablet ,gabapentin 300 MG Oral Tablet,PSN-476677,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1275','Gaba 300 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1275','Gaba 300 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1275','gabapentin 300 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1275','PSN-476677')"
5089,Neurontin 100 MG Oral Capsule ,gabapentin 100 MG Oral Capsule ,PSN-310430,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5089','Neurontin 100 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5089','Neurontin 100 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5089','gabapentin 100 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5089','PSN-310430')"
5107,Neurontin 300 MG Oral Capsule ,gabapentin 300 MG Oral Capsule,PSN-310431,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5107','Neurontin 300 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5107','Neurontin 300 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5107','gabapentin 300 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5107','PSN-310431')"
2901,Gabanerve 300 MG / 0.5 MG Oral Tablet ,gabapentin 300 MG / methylcobalamine 0.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2901','Gabanerve 300 MG / 0.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2901','Gabanerve 300 MG / 0.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2901','gabapentin 300 MG / methylcobalamine 0.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2901','No Corresponding SCD RXCUI')"
7600,Gabantin 400 MG Oral Capsule ,gabapentin 400 MG Oral Capsule,PSN-310432,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7600','Gabantin 400 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7600','Gabantin 400 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7600','gabapentin 400 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7600','PSN-310432')"
5726,Phenobarbital 30 MG Oral Tablet ,PHENobarbital  30 MG Oral Tablet ,PSN-312362,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5726','Phenobarbital 30 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5726','Phenobarbital 30 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5726','PHENobarbital 30 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5726','PSN-312362')"
14069,Phental (PHENobarbital 20 MG in 5 ML) Oral Syrup ,PHENobarbital 20 MG in 5 mL Oral Solution,PSN-702519,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14069','Phental (PHENobarbital 20 MG in 5 ML) Oral Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14069','Phental (PHENobarbital 20 MG in 5 ML) Oral Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14069','PHENobarbital 20 MG in 5 mL Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14069','PSN-702519')"
3127,Lamictal 100 MG Oral Tablet ,lamoTRIgine 100 MG Oral Tablet,PSN-198427,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3127','Lamictal 100 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3127','Lamictal 100 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3127','lamoTRIgine 100 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3127','PSN-198427')"
3126,Lamictal 25 MG Oral Tablet ,lamoTRIgine 25 MG Oral Tablet,PSN-282401,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3126','Lamictal 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3126','Lamictal 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3126','lamoTRIgine 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3126','PSN-282401')"
3125,Lamictal 5 MG Oral Tablet ,lamoTRIgine 5 MG Oral Tablet,PSN-432735,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3125','Lamictal 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3125','Lamictal 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3125','lamoTRIgine 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3125','PSN-432735')"
4297,Lamitor 25 MG Oral Tablet ,lamoTRIgine 25 MG Oral Tablet,PSN-282401,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4297','Lamitor 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4297','Lamitor 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4297','lamoTRIgine 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4297','PSN-282401')"
4291,Lamitor 100 MG Oral Tablet ,lamoTRIgine 100 MG Oral Tablet,PSN-198427,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4291','Lamitor 100 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4291','Lamitor 100 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4291','lamoTRIgine 100 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4291','PSN-198427')"
3648,Tegretol 200 MG Oral Tablet ,carBAMazepine 200 MG Oral Tablet,PSN-308979,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3648','Tegretol 200 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3648','Tegretol 200 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3648','carBAMazepine 200 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3648','PSN-308979')"
3657,Tegretol 200 MG Controlled Release Oral Tablet ,carBAMazepine 200 MG Controlled Release Oral Tablet,PSN-402505,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3657','Tegretol 200 MG Controlled Release Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3657','Tegretol 200 MG Controlled Release Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3657','carBAMazepine 200 MG Controlled Release Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3657','PSN-402505')"
3662,Tegretol 400 MG Controlled Release Oral Tablet ,carBAMazepine 400 MG Controlled Release Oral Tablet,PSN-402506,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3662','Tegretol 400 MG Controlled Release Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3662','Tegretol 400 MG Controlled Release Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3662','carBAMazepine 400 MG Controlled Release Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3662','PSN-402506')"
3651,Tegretol 100 MG in 5 ML Oral Syrup,carBAMazepine 100 MG in 5 ML Oral Syrup,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3651','Tegretol 100 MG in 5 ML Oral Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3651','Tegretol 100 MG in 5 ML Oral Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3651','carBAMazepine 100 MG in 5 ML Oral Syrup','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3651','No Corresponding SCD RXCUI')"
6459,Carmapine 200 MG Oral Tablet ,carBAMazepine 200 MG Oral Tablet,PSN-308979,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6459','Carmapine 200 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6459','Carmapine 200 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG6459','carBAMazepine 200 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6459','PSN-308979')"
5280,Trileptal 300 MG Oral Tablet ,OXcarbazepine 300 MG Oral Tablet,PSN-312137,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5280','Trileptal 300 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5280','Trileptal 300 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5280','OXcarbazepine 300 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5280','PSN-312137')"
15753,Trileptal 60 MG/ML Oral Suspension,OXcarbazepine 60 MG/ML Oral Suspension,PSN-283536,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15753','Trileptal 60 MG/ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15753','Trileptal 60 MG/ML Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15753','OXcarbazepine 60 MG/ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15753','PSN-283536')"
15733,Trileptal 600 MG Oral Tablet ,OXcarbazepine 600 MG Oral Tablet,PSN-312138,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15733','Trileptal 600 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15733','Trileptal 600 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15733','OXcarbazepine 600 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15733','PSN-312138')"
15896,Capecitabine Sandoz 150 MG Oral Tablet ,capecitabine 150 MG Oral Tablet,PSN-200327,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15896','Capecitabine Sandoz 150 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15896','Capecitabine Sandoz 150 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15896','capecitabine 150 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15896','PSN-200327')"
16534,Capecitabine Sandoz 500 MG Oral Tablet ,capecitabine 500 MG Oral Tablet,PSN-200328,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI16534','Capecitabine Sandoz 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB16534','Capecitabine Sandoz 500 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG16534','capecitabine 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE16534','PSN-200328')"
4133,Xyzal 0.5 MG/ML Oral Solution,levocetirizine dihydrochloride 0.5 MG/ML Oral Solution,SCD-855168,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4133','Xyzal 0.5 MG/ML Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4133','Xyzal 0.5 MG/ML Oral Solution','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4133','SCD-855168')"
4131,Xyzal 5 MG Oral Tablet ,levocetirizine dihydrochloride 5 MG Oral Tablet,PSN-855172,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4131','Xyzal 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4131','Xyzal 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4131','levocetirizine dihydrochloride 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4131','PSN-855172')"
7368,Glencet 5 MG Oral Tablet ,levocetirizine dihydrochloride 5 MG Oral Tablet,PSN-855172,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7368','Glencet 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7368','Glencet 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7368','levocetirizine dihydrochloride 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7368','PSN-855172')"
11850,Glemont-L  5 MG / 10 MG Oral Tablet ,levocetirizine dihydrochloride 5 MG / montelukast sodium 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11850','Glemont-L 5 MG / 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11850','Glemont-L 5 MG / 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11850','levocetirizine dihydrochloride 5 MG / montelukast sodium 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11850','No Corresponding SCD RXCUI')"
3373,Montallerg 5 MG / 10 MG Oral Tablet ,levocetirizine dihydrochloride 5 MG / montelukast sodium 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3373','Montallerg 5 MG / 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3373','Montallerg 5 MG / 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3373','levocetirizine dihydrochloride 5 MG / montelukast sodium 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3373','No Corresponding SCD RXCUI')"
